"","TeamId","TeamName","TotalUSDPrize","TotalTournaments"
"559",24717,"ATK",62518.13,16
"560",940,"Mercedes-AMG Petronas Esports",62500,2
"561",714,"Team Random",62500,1
"562",723,"Thunderbirds",62500,1
"563",24702,"Team Redline",62400,7
"564",24991,"Optimal Ambition",62333.34,3
"565",339,"Hong Kong Esports",62332.6,9
"566",711,"Team Zenith",62312.76,9
"567",24683,"Triple Trouble",62286.7,9
"568",626,"Manchester City eSports",61650,10
"569",24893,"Third Impact",61095,13
"570",129,"For Our Utopia",60175.76,19
"571",417,"Team Hearthlytics",60010,15
"572",393,"Team Vulcun",60000,3
"573",473,"Team Coast",59950,10
"574",753,"Ronin Esports",59576.2,13
"575",835,"Oserv Esport",59506.41,9
"576",788,"Team Catch-Gamer",59263.61,10
"577",24725,"x3o",59100.8,15
"578",24903,"M10 Esports",59100,10
"579",957,"Polar Ace",58913.81,15
"580",794,"TitanEX1",58132.79,64
"581",334,"Team Dragon Knights",58000,7
"582",24861,"mudgolems",57750,3
"583",24859,"Rated R",57000,6
"584",524,"AGAiN",56847.13,9
"585",915,"Omnislash",56822.83,14
"586",471,"Ocrana",56810.11,10
"587",352,"Anexis eSports",56625.39,33
"588",943,"Sauber F1 Esports Team",56000,2
"589",820,"Winners",55812.77,13
"590",354,"GamingGear.eu",54909.4,8
"591",24882,"Raised by Kings",54837.6,5
"592",24883,"Yeah Gaming",54513.67,23
"593",857,"Toronto Defiant",54400,3
"594",606,"Romanian National Team",54375.64,11
"595",701,"New Zealand National Team",54100,6
"596",384,"NewRoSoft",53987.44,65
"597",24843,"Futbolist",53764.12,3
"598",24670,"Lux Gaming",53325,8
"599",239,"Spirit of Amiga",53046.44,20
"600",435,"Young Glory",52965.57,6
"601",348,"XMG",52604.36,84
"602",24824,"Global Esports Xsset",52259.38,4
"603",24955,"DivisionX Gaming",52216.16,7
"604",24735,"Sharks Esports",52084.92,12
"605",25018,"sAw",51653.84,13
"606",668,"Asterion",51530.77,93
"607",699,"Hong Kong National Team",51500,5
"608",199,"goodgame",51247.86,18
"609",597,"Singaporian National Team",51125,7
"610",683,"Hite SPARKYZ",50818.59,16
"611",24869,"CERBERUS Esports",50799.88,10
"612",24901,"Dynamind",50650,2
"613",24904,"Riddle",50400,2
"614",24905,"Stratum Esports",50300,2
"615",406,"3sUP Enterprises",50126.66,13
"616",819,"Hanwha Life Esports",49868.6,6
"617",24890,"Cream Esports",49435.45,6
"618",24830,"CrowCrowd",48812.51,8
"619",24700,"Nora-Rengo",48760,7
"620",929,"Pixel 1",48592.1,39
"621",189,"69°N-28°E",48449.74,6
"622",614,"Team WinFakt",48266.3,14
"623",284,"spiXel",48130.12,7
"624",150,"hoorai",48121.67,13
"625",831,"Rift Esports",48079.11,3
"626",159,"Absolute Legends",47434.47,39
"627",718,"Mysterious Monkeys",46778.9,14
"628",500,"REUNITED",46362.97,33
"629",526,"Team X",46000,5
"630",358,"CLASH Tournaments",45988.3,183
"631",611,"NGA Club",45335.36,7
"632",24938,"Wave Esports",45323.18,26
"633",444,"Unlimited Potential",45312.6,3
"634",24736,"Radiance",44925.4,14
"635",24823,"WClick",44600,3
"636",288,"Temp.no",44475.44,23
"637",596,"Austrian National Team",44409.12,8
"638",24676,"AS Monaco Esports",44345.7,14
"639",537,"Even Matchup Gaming",44044.24,96
"640",24865,"Xavier Esports",43481.25,10
"641",333,"Team Impulse",43000,5
"642",24975,"ELL",42868.2,1
"643",551,"Team Revolution",42724.5,82
"644",665,"bbq Olivers",42359.3,6
"645",190,"Destination-Skyline",41549.71,11
"646",792,"Golden Guardians",41492.85,4
"647",24677,"Team Oplon",41199.76,42
"648",426,"OverGaming",40935.37,22
"649",24689,"Apex Racing Team",40934.42,6
"650",24875,"ArkAngel",40800,7
"651",24944,"303 Esports",40538.75,12
"652",361,"VGBootCamp",40312.22,114
"653",605,"Portugese National Team",40238.7,7
"654",791,"Playing Ducks",40061.31,27
"655",942,"Toro Rosso Esports Team",40000,1
"656",944,"University of Illinois at Urbana-Champaign",40000,1
"657",24794,"Hard Legion Esports",39504.5,10
"658",278,"Astana Dragons",38823.69,11
"659",368,"Clan-Mystik",38751.6,19
"660",156,"Gravitas Gaming",38639.43,17
"661",25027,"Vision Strikers",38000,2
"662",502,"Lounge Gaming",37962.07,9
"663",24679,"Konix eSport",37910.92,23
"664",594,"Bulgarian National Team",37868.11,8
"665",252,"Lightning Pandas",37829.32,4
